Country,Region,Population,Happiness_Rank,Happiness_Score,Investment,PR,CL,Life_Expectancy
Afghanistan,Southern Asia,33736494,153,3.575,163102610,6,6,60.71717073
Albania,Central and Eastern Europe,2880703,95,4.959,991259675.2,3,3,78.01446341
Algeria,Middle East and Northern Africa,39871528,68,5.605,-403397081.1,6,5,75.04253659
Angola,Sub-Saharan Africa,27859305,137,4.033,9282167512,6,6,52.66609756
Argentina,Latin America and Caribbean,43417765,30,6.574,11758994011,2,2,76.33421951
Armenia,Central and Eastern Europe,2916950,127,4.35,178452920.5,5,4,74.79712195
Australia,Australia and New Zealand,23789338,10,7.284,36595012584,1,1,82.45121951
Austria,Western Europe,8633169,13,7.2,5182161264,1,1,81.84390244
Azerbaijan,Central and Eastern Europe,9649341,80,5.212,4047630000,7,6,70.84878049
Bahrain,Middle East and Northern Africa,1371855,49,5.96,-1462765957,7,6,76.81909756
Bangladesh,Southern Asia,161200886,109,4.694,3380251355,4,4,72.00119512
Belarus,Central and Eastern Europe,9489616,59,5.813,1652300000,7,6,73.62439024
Belgium,Western Europe,11274196,19,6.937,-20797132929,1,1,81.28780488
Benin,Sub-Saharan Africa,10575952,155,3.34,149695382.1,2,2,59.72070732
Bhutan,Southern Asia,787386,79,5.253,10768411.29,3,4,69.83285366
Bolivia,Latin America and Caribbean,10724705,51,5.89,503444026.8,3,3,68.73960976
Bosnia and Herzegovina,Central and Eastern Europe,3535961,96,4.949,293449281.5,4,3,76.58858537
Botswana,Sub-Saharan Africa,2209197,128,4.332,393471406.2,3,2,64.48741463
Brazil,Latin America and Caribbean,205962108,16,6.983,74693632858,2,2,74.67587805
Bulgaria,Central and Eastern Europe,7177991,134,4.218,2778170000,2,2,74.46585366
Burkina Faso,Sub-Saharan Africa,18110624,152,3.587,167397328.6,4,3,58.93129268
Burundi,Sub-Saharan Africa,10199270,157,2.905,49584377.28,7,6,57.10704878
Cambodia,Southeastern Asia,15517635,145,3.819,1700968602,6,5,68.65614634
Cameroon,Sub-Saharan Africa,22834522,133,4.252,694057556.6,6,6,55.93439024
Canada,North America,35848610,5,7.427,54702381232,1,1,82.13763415
Central African Republic,Sub-Saharan Africa,4546100,148,3.678,3000000,7,7,51.41912195
Chad,Sub-Saharan Africa,14009413,149,3.667,600219798.8,7,6,51.87331707
Chile,Latin America and Caribbean,17762681,27,6.67,20468714299,1,1,81.78756098
China,Eastern Asia,1371220000,84,5.14,2.42E+11,7,6,75.98634146
Colombia,Latin America and Caribbean,48228697,33,6.477,11732167013,3,4,74.18202439
Comoros,Sub-Saharan Africa,777424,140,3.956,5146839.506,3,4,63.55402439
Congo (Brazzaville),Sub-Saharan Africa,4995648,139,3.989,1486178037,6,5,62.86765854
Congo (Kinshasa),Sub-Saharan Africa,76196619,120,4.517,1673500100,6,6,59.02390244
Costa Rica,Latin America and Caribbean,4807852,12,7.226,3145009998,1,1,79.58646341
Croatia,Central and Eastern Europe,4203604,62,5.759,158968737.6,1,2,77.27560976
Cyprus,Western Europe,1160985,67,5.689,8011131463,1,1,80.30709756
Czech Republic,Central and Eastern Europe,10546059,31,6.505,1699914617,1,1,79.47317073
Denmark,Western Europe,5683483,3,7.527,1888667820,1,1,81.1
Djibouti,Sub-Saharan Africa,927414,126,4.369,123998424.5,6,5,62.28565854
Dominican Republic,Latin America and Caribbean,10528394,98,4.885,2227300000,3,3,73.67668293
Ecuador,Latin America and Caribbean,16144368,48,5.975,1321508337,3,3,76.10292683
Egypt,Middle East and Northern Africa,93778172,135,4.194,6884800000,6,5,71.31695122
El Salvador,Latin America and Caribbean,6312478,42,6.13,496992814.1,2,3,73.00109756
Estonia,Central and Eastern Europe,1315407,73,5.429,-652014139.2,1,1,77.13170732
Ethiopia,Sub-Saharan Africa,99873033,122,4.512,2167600000,7,6,64.57804878
Finland,Western Europe,5479531,6,7.406,16938463412,1,1,81.38536585
France,Western Europe,66624068,29,6.575,34968752554,1,1,82.67073171
Gabon,Sub-Saharan Africa,1930175,143,3.896,623890438.8,6,5,64.89034146
Georgia,Central and Eastern Europe,3717100,130,4.297,1571048773,3,3,74.81741463
Germany,Western Europe,81686611,26,6.75,52576912741,1,1,81.0902439
Ghana,Sub-Saharan Africa,27582821,114,4.633,3192320531,1,2,61.49173171
Greece,Western Europe,10820883,102,4.857,1140932302,2,2,81.58780488
Guatemala,Latin America and Caribbean,16252429,43,6.123,1175523400,4,4,71.9564878
Guinea,Sub-Saharan Africa,12091533,150,3.656,85000000,5,5,59.19343902
Haiti,Latin America and Caribbean,10711061,119,4.518,109430000,5,5,63.0737561
Honduras,Latin America and Caribbean,8960829,105,4.788,1316679827,4,4,73.33312195
Hungary,Central and Eastern Europe,9843028,104,4.8,-5309180499,2,2,75.96097561
Iceland,Western Europe,330815,2,7.561,1145752087,1,1,82.86097561
India,Southern Asia,1309053980,117,4.565,44009492130,2,3,68.34856098
Indonesia,Southeastern Asia,258162113,74,5.399,19779127977,2,4,69.07168293
Iran,Middle East and Northern Africa,79360487,110,4.686,2050000000,6,6,75.59134146
Iraq,Middle East and Northern Africa,36115649,112,4.677,3316300000,5,6,69.59026829
Ireland,Western Europe,4676835,18,6.94,2.03E+11,1,1,81.50243902
Israel,Middle East and Northern Africa,8380100,11,7.278,11510200000,1,2,82.05121951
Italy,Western Europe,60730582,50,5.948,13005637733,1,1,83.4902439
Jamaica,Latin America and Caribbean,2871934,65,5.709,924977863.7,2,3,75.79817073
Japan,Eastern Asia,127141000,46,5.987,5585489706,1,1,83.84365854
Jordan,Middle East and Northern Africa,9159302,82,5.192,1274788732,6,5,74.20334146
Kazakhstan,Central and Eastern Europe,17544126,54,5.855,6584614530,6,5,72
Kenya,Sub-Saharan Africa,47236259,125,4.419,1437000004,4,4,62.13373171
Kosovo,Central and Eastern Europe,1801800,69,5.589,343256140.8,3,4,71.34634146
Kuwait,Middle East and Northern Africa,3935794,39,6.295,284647623.8,5,5,74.69790244
Kyrgyzstan,Central and Eastern Europe,5956900,77,5.286,1139260400,5,5,70.65121951
Laos,Southeastern Asia,6663967,99,4.876,1079144682,7,6,66.53987805
Latvia,Central and Eastern Europe,1977527,89,5.098,763404471.4,2,2,74.12439024
Lebanon,Middle East and Northern Africa,5851479,103,4.839,2341880814,5,4,79.62860976
Lesotho,Sub-Saharan Africa,2174645,97,4.898,113219241,3,3,49.96121951
Liberia,Sub-Saharan Africa,4499621,116,4.571,721033135.4,3,4,61.16095122
Libya,Middle East and Northern Africa,6234955,63,5.754,725667000,6,6,71.82631707
Lithuania,Central and Eastern Europe,2904910,56,5.833,970017859,1,1,75.1195122
Luxembourg,Western Europe,569604,17,6.946,24595772903,1,1,82.22926829
Macedonia,Central and Eastern Europe,2079308,93,5.007,296604200.4,4,3,75.49534146
Madagascar,Sub-Saharan Africa,24234088,147,3.681,517455239.4,3,4,65.48278049
Malawi,Sub-Saharan Africa,17573607,131,4.292,518691526.9,3,3,63.79685366
Malaysia,Southeastern Asia,30723155,61,5.77,10962721673,4,4,74.87517073
Mali,Sub-Saharan Africa,17467905,138,3.995,152941330.6,5,4,58.45721951
Malta,Western Europe,431874,37,6.302,2921620673,1,1,81.94634146
Mauritania,Sub-Saharan Africa,4182341,124,4.436,501726765.7,6,5,63.20282927
Mauritius,Sub-Saharan Africa,1262605,71,5.477,208290139.5,1,2,74.35317073
Mexico,Latin America and Caribbean,125890949,14,7.187,33181269654,3,3,76.92068293
Moldova,Central and Eastern Europe,3554108,52,5.889,234410000,3,3,71.62643902
Mongolia,Eastern Asia,2976877,100,4.874,94319767.47,1,2,69.82126829
Montenegro,Central and Eastern Europe,622159,82,5.192,699736511.1,3,3,76.33770732
Morocco,Middle East and Northern Africa,34803322,92,5.013,3252913902,5,4,74.28931707
Mozambique,Sub-Saharan Africa,28010691,94,4.971,3868353885,4,4,55.3712439
Myanmar,Southeastern Asia,52403669,129,4.307,4083839112,6,5,66.04207317
Nepal,Southern Asia,28656282,121,4.514,51895699.93,3,4,69.97334146
Netherlands,Western Europe,16939923,7,7.378,1.30E+11,1,1,81.70731707
New Zealand,Australia and New Zealand,4595700,9,7.286,-135170838.7,1,1,81.45682927
Nicaragua,Latin America and Caribbean,6082035,57,5.828,949900000,4,3,75.09812195
Niger,Sub-Saharan Africa,19896965,144,3.845,524979288.2,3,4,61.96902439
Nigeria,Sub-Saharan Africa,181181744,78,5.268,3128591679,4,5,53.04887805
Norway,Western Europe,5188607,4,7.522,5669105409,1,1,82.1
Oman,Middle East and Northern Africa,4199810,22,6.853,-2691547464,6,5,77.32419512
Pakistan,Southern Asia,189380513,81,5.194,979000000,4,5,66.37697561
Panama,Latin America and Caribbean,3969249,25,6.786,5057700000,2,2,77.76729268
Paraguay,Latin America and Caribbean,6639119,53,5.878,315265500,3,3,73.02563415
Peru,Latin America and Caribbean,31376671,58,5.824,7817116455,2,3,74.78073171
Philippines,Southeastern Asia,101716359,90,5.073,5639155962,3,3,68.4067561
Poland,Central and Eastern Europe,37986412,60,5.791,14067000000,1,1,78.20487805
Portugal,Western Europe,10358076,88,5.102,2235595397,1,1,81.52195122
Qatar,Middle East and Northern Africa,2481539,28,6.611,1070879121,6,5,78.76258537
Romania,Central and Eastern Europe,19815481,86,5.124,4317731472,2,2,74.96097561
Russia,Central and Eastern Europe,144096870,64,5.716,6852970000,6,6,70.90853659
Rwanda,Sub-Saharan Africa,11629553,154,3.465,323205167.8,6,6,64.52453659
Saudi Arabia,Middle East and Northern Africa,31557144,35,6.411,8141026667,7,7,74.49334146
Senegal,Sub-Saharan Africa,14976994,142,3.904,345211485.9,2,2,66.80441463
Serbia,Central and Eastern Europe,7095383,87,5.123,2345152815,2,2,75.48780488
Sierra Leone,Sub-Saharan Africa,7237025,123,4.507,518680000,3,3,51.30817073
Singapore,Southeastern Asia,5535002,24,6.798,70579746513,4,4,82.59512195
Slovakia,Central and Eastern Europe,5423801,45,5.995,1151416530,1,1,77.21219512
Slovenia,Central and Eastern Europe,2063531,55,5.848,1680440877,1,1,81.07804878
Somaliland region,Sub-Saharan Africa,13908129,91,5.057,516000000,7,7,55.68558537
South Africa,Sub-Saharan Africa,55011976.68,113,4.642,1521139945,2,2,57.44090244
South Korea,Eastern Asia,51014947,47,5.984,4104100000,2,2,82.15585366
Spain,Western Europe,46447697,36,6.329,25299041417,1,1,83.3804878
Sri Lanka,Southern Asia,20966000,132,4.271,681238956.3,4,4,74.95319512
Sudan,Sub-Saharan Africa,38647803,118,4.55,1736764247,7,7,63.71073171
Suriname,Latin America and Caribbean,553208,40,6.269,195402811.9,2,3,71.29417073
Swaziland,Sub-Saharan Africa,1319011,101,4.867,31681320.25,7,5,48.87395122
Sweden,Western Europe,9799186,8,7.364,7994305865,1,1,82.55121951
Switzerland,Western Europe,8282396,1,7.587,97577566732,1,1,83.19756098
Tajikistan,Central and Eastern Europe,8548651,106,4.786,426147890,7,6,69.76843902
Tanzania,Sub-Saharan Africa,53879957,146,3.781,1960581620,3,4,65.4874878
Thailand,Southeastern Asia,68657600,34,6.455,9003516296,6,5,74.60119512
Togo,Sub-Saharan Africa,7416802,158,2.839,257756356.3,4,4,60.1207561
Trinidad and Tobago,Latin America and Caribbean,1360092,41,6.168,406080893.5,2,2,70.55770732
Tunisia,Middle East and Northern Africa,11273661,107,4.739,965678965.1,1,3,74.97597561
Turkey,Middle East and Northern Africa,78271472,76,5.332,17550000000,3,4,75.42621951
Turkmenistan,Central and Eastern Europe,5565284,70,5.548,4258767000,7,7,65.73643902
Uganda,Sub-Saharan Africa,40144870,141,3.931,1057301392,6,5,59.17907317
Ukraine,Central and Eastern Europe,45154029,111,4.681,3050000000,3,3,71.1895122
United Arab Emirates,Middle East and Northern Africa,9154302,20,6.901,8795098707,6,6,77.5412439
United Kingdom,Western Europe,65128861,21,6.867,58450557091,1,1,81.60487805
United States,North America,320896618,15,7.119,3.79E+11,1,1,78.74146341
Uruguay,Latin America and Caribbean,3431552,32,6.485,1369314228,1,1,77.13821951
Uzbekistan,Central and Eastern Europe,31298900,44,6.003,1068393000,7,7,68.45307317
Venezuela,Latin America and Caribbean,31155134,23,6.81,3764000000,5,5,74.40960976
Vietnam,Southeastern Asia,91713300,75,5.36,11800000000,7,5,75.77773171
Yemen,Middle East and Northern Africa,26916207,136,4.077,-15444808.35,7,6,64.03139024
Zambia,Sub-Saharan Africa,16100587,85,5.129,1582666667,3,4,60.78568293
Zimbabwe,Sub-Saharan Africa,15777451,115,4.61,399200000,5,5,59.16107317
