Country,Happiness Rank,Happiness Score,Life Ladder,GDP Per Capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of Corruption,Confidence in national government,Healthcare Expenses(% of GDP),Population(100 Million),Investment,Political Rights,Civil Liberties,Life Expectancy,Beer Servings,Shots of Liquor,Wine Servings,Total Alcohol Consumption,Continent,Economic Freedom Score,Legal System Integrity,Inflation,Regulation,Defence Spending
Afghanistan,153.0,3.575,3.782937527,7.517126083,0.520636737,52.24000168,0.530935049,0.244272724,0.775619805,0.435440153,7.89716844,0.33736494,0.16310261,6.0,6.0,60.71717073,0.0,0.0,0.0,0.0,Asia,,,,,238583385.4
Albania,95.0,4.959,5.5101242070000005,9.246655464,0.784501791,66.95999908,0.601512134,-0.17226187899999998,0.8476752040000001,0.364893705,5.84830141,0.02880703,0.9912596752,3.0,3.0,78.01446341,89.0,132.0,54.0,4.9,Europe,7.2,4.166666667,9.594,6.619161556,183204695.7
Algeria,68.0,5.605,5.604595661,9.485086441,0.8393968940000001,64.81999969,0.586663485,-0.195858598,0.6901163459999999,,6.00050994,0.39871528,-0.4033970811,6.0,5.0,75.04253659,25.0,0.0,14.0,0.7,Africa,4.95,5.0,8.222000000000001,5.333293239,9326287144.0
Angola,137.0,4.033,4.360249996,8.699498177,0.7525928620000001,53.20000076,0.456028581,-0.124064885,0.906300485,0.237090692,2.69289044,0.27859305,9.282167512,6.0,6.0,52.66609756,217.0,57.0,45.0,5.9,Africa,5.28,4.166666667,7.942,5.45870401,4144634851.0
Argentina,30.0,6.574,6.468387127000001,9.863960266,0.901776373,67.66000366,0.747498393,-0.143875062,0.816546202,0.41825547799999996,8.40588238,0.43417765,11.758994011,2.0,2.0,76.33421951,193.0,25.0,221.0,8.3,South America,5.04,3.3,5.12,5.723698766,4563217859.0
Armenia,127.0,4.35,4.319711685,8.924141883999999,0.6764464379999999,65.51999664,0.5018637779999999,-0.20153889100000003,0.8925443890000001,0.285362303,6.71185884,0.0291695,0.1784529205,5.0,4.0,74.79712195,21.0,179.0,11.0,3.8,Europe,7.75,5.0,9.488,7.651228098,380571678.9
Australia,10.0,7.284,7.195585727999999,10.66322899,0.9445990320000001,72.40000153,0.935146272,0.265168518,0.368251741,0.420419186,8.68936294,0.23789338,36.595012584,1.0,1.0,82.45121951,261.0,72.0,212.0,10.4,Oceania,7.96,9.166666667000001,9.888,8.125883364,26216580848.0
Austria,13.0,7.2,7.400688647999999,10.70440388,0.9451423879999999,71.68000031,0.919703901,0.11593899099999999,0.770585775,0.376573861,10.1991558,0.08633169,5.182161264,1.0,1.0,81.84390244,279.0,75.0,191.0,9.7,Europe,7.62,10.0,9.502,7.54926179,3187227449.0
Azerbaijan,80.0,5.212000000000001,4.9107718469999995,9.673333168,0.761873245,63.88000107,0.598859072,-0.16071149699999998,0.763154805,0.707989275,4.97886665,0.09649341,4.04763,7.0,6.0,70.84878049,21.0,46.0,5.0,1.3,Europe,6.32,5.833333333,9.788,7.055134644,3246122613.0
Bahrain,49.0,5.96,5.0271868710000005,10.62035942,0.911349595,66.86000061,0.6818228959999999,,0.437915266,,4.10642622,0.01371855,-1.462765957,7.0,6.0,76.81909756,42.0,63.0,7.0,2.0,Asia,7.33,7.5,9.45,8.764023597000001,1182180851.0
Bangladesh,109.0,4.694,4.724443913,7.903443812999999,0.581765294,61.54000092,0.66768229,-0.028887972,0.7648944259999999,0.705811918,2.57301204,1.61200886,3.380251355,4.0,4.0,72.00119512,0.0,0.0,0.0,0.0,Asia,6.24,3.333333333,8.756,6.666386521000001,1823425076.0
Belarus,59.0,5.813,5.749043465,9.768808365,0.901961505,63.45999908,0.64524883,-0.22508487100000002,0.6574302320000001,,5.24690672,0.09489616,1.6523,7.0,6.0,73.62439024,142.0,373.0,42.0,14.4,Europe,,,,,817069894.1
Belgium,19.0,6.937,6.935122012999999,10.62246037,0.92711705,71.04000092,0.8552666309999999,-0.053328025999999994,0.7575725320000001,0.44011718,10.10650062,0.11274196,-20.797132929,1.0,1.0,81.28780488,295.0,84.0,212.0,10.5,Europe,7.35,8.333333332999999,9.432,8.090982514,5168997834.0
Benin,155.0,3.34,3.1934688089999996,7.5261535639999995,0.5230273010000001,52.25999832,0.768971086,-0.08822233199999999,0.805977643,0.5820804829999999,4.66644064,0.10575952,0.1496953821,2.0,2.0,59.72070732,34.0,4.0,13.0,1.1,Africa,5.74,,8.65,6.796798712,78223091.04
Bolivia,51.0,5.89,6.018894672,8.664394378999999,0.7808194159999999,61.68000031,0.86237967,-0.009273426999999999,0.8397014140000001,0.43529263100000004,5.12558001,0.10724705,0.5034440268,3.0,3.0,68.73960976,167.0,41.0,8.0,3.8,South America,6.38,4.166666667,9.082,5.726643465,499870043.4
Bosnia and Herzegovina,96.0,4.949,4.773144722,9.203286171,0.778859854,66.77999878,0.41978931399999997,-0.013100526000000001,0.95342195,0.19495232399999998,9.49001539,0.03535961,0.2934492815,4.0,3.0,76.58858537,76.0,173.0,8.0,4.6,Europe,6.79,,9.59,7.388401554,197344650.2
Botswana,128.0,4.332,4.835938931,9.564126015,0.836743116,54.45999908,0.7994102240000001,-0.209501565,0.8144228459999999,0.6622377629999999,6.48440961,0.02209197,0.3934714062,3.0,2.0,64.48741463,173.0,35.0,35.0,5.4,Africa,7.25,5.833333333,8.492,7.977967264,326874161.7
Brazil,16.0,6.983,6.660003662,9.623767853,0.890314102,65.01999664,0.848606348,,0.622543156,0.45893567799999996,10.03918369,2.05962108,74.693632858,2.0,2.0,74.67587805,245.0,145.0,16.0,7.2,South America,6.24,3.333333333,8.92,5.078008985,33987005074.0
Bulgaria,134.0,4.218,4.222297192,9.665997505,0.837966621,65.90000153,0.641256452,-0.173897162,0.938208699,0.34292280700000005,7.59439374,0.07177991,2.77817,2.0,2.0,74.46585366,231.0,252.0,94.0,10.3,Europe,7.37,4.166666667,9.41,7.928623569,807529319.0
Burkina Faso,152.0,3.5869999999999997,3.95500803,7.3274221420000005,0.743765771,50.77999878,0.621848702,-0.06050337099999999,0.726286888,0.617090106,4.89312958,0.18110624,0.1673973286,4.0,3.0,58.93129268,25.0,7.0,7.0,4.3,Africa,5.81,5.0,9.236,7.34842853,147729698.9
Cambodia,145.0,3.819,3.8987069130000003,7.939874172000001,0.605528593,59.25999832,0.9555957909999999,0.245497048,0.890136123,0.82517308,7.26524264,0.15517635,1.700968602,6.0,5.0,68.65614634,57.0,65.0,1.0,2.2,Asia,6.92,,9.414,5.856615832999999,217305727.7
Cameroon,133.0,4.252,4.2446341510000005,8.013411522,0.74283731,49.09999847,0.766064227,-0.035121001,0.898028791,0.533314586,4.54202158,0.22834522,0.6940575566,6.0,6.0,55.93439024,147.0,1.0,4.0,5.8,Africa,6.05,3.333333333,9.412,6.655174112999999,354447463.1
Canada,5.0,7.4270000000000005,7.415144444,10.64052105,0.9481283429999999,72.51999664,0.9179611209999999,0.28257176300000003,0.46560183200000005,0.523448169,10.24045785,0.3584861,54.702381232,1.0,1.0,82.13763415,240.0,122.0,100.0,8.2,North America,7.99,9.166666667000001,9.696,8.748628303,20452107111.0
Chad,149.0,3.667,4.03297472,7.5821666720000005,0.672866464,45.74000168,0.562908113,-0.047020427999999996,0.884475827,0.30277133,3.57734906,0.14009413,0.6002197988,7.0,6.0,51.87331707,15.0,1.0,1.0,0.4,Africa,4.72,,7.196000000000001,5.081839145,0.0
Chile,27.0,6.67,6.599128723,9.967881203,0.8552355770000001,69.18000031,0.7336109279999999,0.18632897699999998,0.7821174259999999,0.34326779799999996,7.02092081,0.17762681,20.468714299,1.0,1.0,81.78756098,130.0,124.0,172.0,7.6,South America,7.81,7.5,9.398,7.431703781,5466101782.0
China,84.0,5.14,5.094917297,9.318813324,0.787818193,67.91999817,0.808255136,-0.200404897,,,4.549399,13.7122,242.0,7.0,6.0,75.98634146,79.0,192.0,8.0,5.0,Asia,6.37,5.833333333,9.47,6.224536421,157000000000.0
Colombia,33.0,6.477,6.374879837000001,9.379259109,0.914372623,66.13999939,0.8278681040000001,-0.013808967,0.868371546,0.35738286399999997,5.68462271,0.48228697,11.732167013,3.0,4.0,74.18202439,159.0,76.0,3.0,4.2,South America,6.72,3.333333333,9.363999999999999,7.431591382000001,11706271913.0
Comoros,140.0,3.9560000000000004,3.955640316,7.259981155,0.719217896,55.34000015,0.5340409279999999,-0.073209994,0.651009262,0.464862645,7.94528634,0.00777424,0.005146839506,3.0,4.0,63.55402439,1.0,3.0,1.0,0.1,Africa,,,,,0.0
Congo (Brazzaville),139.0,3.989,3.919341803,8.570007324,0.622330368,54.95999908,0.772510767,-0.147098094,0.7996537090000001,0.541932642,2.47433199,0.04995648,1.486178037,6.0,5.0,62.86765854,76.0,1.0,9.0,1.7,Africa,4.39,3.333333333,9.222000000000001,5.5212790929999995,
Congo (Kinshasa),120.0,4.5169999999999995,4.63922739,6.560744762000001,0.7695459720000001,50.77999878,0.557286203,-0.017429415,0.8074066040000001,0.43757021399999996,3.56752988,0.76196619,1.6735001,6.0,6.0,59.02390244,32.0,3.0,1.0,2.3,Africa,5.2,1.6666666669999999,8.056000000000001,5.269028829,
Costa Rica,12.0,7.226,7.272250175,9.538064002999999,0.902206898,70.09999847,0.92891407,0.048832808,0.794301391,0.280074805,7.75122422,0.04807852,3.145009998,1.0,1.0,79.58646341,149.0,87.0,11.0,4.4,North America,7.53,5.0,9.1,6.670394732999999,0.0
Croatia,62.0,5.7589999999999995,6.027634621,9.920677185,0.775817871,68.09999847,0.541909754,-0.244161829,0.923860013,0.311118603,7.78825844,0.04203604,0.1589687376,1.0,2.0,77.27560976,230.0,87.0,254.0,10.2,Europe,6.93,7.5,9.316,7.037759915,955320163.6
Cyprus,67.0,5.689,6.180507183,10.36377907,0.767177105,72.68000031,0.724629581,0.092312515,0.870691717,0.3364124,6.68578788,0.01160985,8.011131463,1.0,1.0,80.30709756,192.0,154.0,113.0,8.2,Europe,7.47,8.333333332999999,9.522,7.166137324,414496321.4
Czech Republic,31.0,6.505,6.334149361000001,10.25861073,0.91242677,68.37999725,0.739808738,-0.155507952,0.956799686,0.169811338,7.02843525,0.10546059,1.699914617,1.0,1.0,79.47317073,361.0,170.0,134.0,11.8,Europe,7.42,8.333333332999999,9.34,8.018554509,2220610395.0
Denmark,3.0,7.527,7.519909382000001,10.69957066,0.951437175,70.83999634,0.932627916,0.13419172199999999,0.187407613,0.534252763,10.24135399,0.05683483,1.88866782,1.0,1.0,81.1,224.0,81.0,278.0,10.4,Europe,7.56,10.0,9.517999999999999,8.236950013,4422458084.0
Dominican Republic,98.0,4.885,4.753311157,9.349662781000001,0.879158199,64.23999786,0.840129375,-0.062621355,0.727300286,0.43158412,5.88949284,0.10528394,2.2273,3.0,3.0,73.67668293,193.0,147.0,9.0,6.2,North America,7.03,4.166666667,9.262,5.996049705,396187178.6
Ecuador,48.0,5.975,5.960716248,9.242050171,0.785201013,67.12000275,0.8252751229999999,-0.08701530800000001,0.729978859,0.637234926,8.47968249,0.16144368,1.321508337,3.0,3.0,76.10292683,162.0,74.0,3.0,4.2,South America,6.03,4.166666667,8.98,6.329043313,2589776000.0
Egypt,135.0,4.194,4.204156876,9.192422867000001,0.736645103,60.31999969,0.45154336100000003,-0.144803181,0.880383074,0.601901174,,0.93778172,6.8848,6.0,5.0,71.31695122,6.0,4.0,1.0,0.2,Africa,6.14,5.0,8.576,4.84547475,4557748767.0
El Salvador,42.0,6.13,5.934371471,8.804447174,0.806014717,64.59999847,0.6827448009999999,-0.153194159,0.786294818,0.312310934,6.71873688,0.06312478,0.4969928141,2.0,3.0,73.00109756,52.0,69.0,2.0,2.2,North America,7.09,3.333333333,9.654,6.548218287999999,224300000.0
Estonia,73.0,5.428999999999999,5.363927841000001,10.15393448,0.889454544,67.22000122,0.696825743,-0.196030051,0.7928527,0.272975951,5.82746739,0.01315407,-0.6520141392000001,1.0,1.0,77.13170732,224.0,194.0,59.0,9.5,Europe,7.68,6.666666667,9.214,8.168021655,436852911.6
Ethiopia,122.0,4.512,4.561168671,7.1152372360000005,0.658794284,55.20000076,0.776308239,-0.036612075,,,4.5395958,0.99873033,2.1676,7.0,6.0,64.57804878,20.0,3.0,0.0,0.7,Africa,5.58,7.5,5.446000000000001,6.056356622000001,366539017.7
Finland,6.0,7.406000000000001,7.420209408,10.59445572,0.9277393820000001,70.87999725,0.920968115,-0.00570858,0.360733956,0.5979415770000001,9.29113662,0.05479531,16.938463412,1.0,1.0,81.38536585,263.0,133.0,97.0,10.0,Europe,7.81,10.0,9.437999999999999,7.932000541,3943239958.0
France,29.0,6.575,6.649365425,10.52749729,0.93709743,72.59999847,0.8413203359999999,-0.153478965,0.607905269,0.44062534,11.320896300000001,0.66624068,34.968752554,1.0,1.0,82.67073171,127.0,151.0,370.0,11.8,Europe,7.27,8.333333332999999,9.607999999999999,7.4954919460000005,60035153811.0
Gabon,143.0,3.8960000000000004,3.97205925,9.6902771,0.736096144,56.15999985,0.565965831,-0.211889133,0.8101196890000001,0.36471766200000005,2.42097557,0.01930175,0.6238904388,6.0,5.0,64.89034146,347.0,98.0,59.0,8.9,Africa,5.37,5.0,9.468,6.54277006,278143957.1
Georgia,130.0,4.297,4.254445553,8.972251892000001,0.532586455,64.91999817,0.65872401,-0.252974212,0.320887595,0.6108416320000001,8.37314174,0.037171,1.571048773,3.0,3.0,74.81741463,52.0,100.0,149.0,5.4,Europe,7.75,,9.812000000000001,8.235755763,491982529.4
Germany,26.0,6.75,6.7023620610000005,10.66480923,0.926406622,71.05999756,0.9044404629999999,0.066865228,0.67923671,0.5169281960000001,10.76729532,0.81686611,52.576912741,1.0,1.0,81.0902439,346.0,117.0,175.0,11.3,Europe,7.64,8.333333332999999,9.597999999999999,7.580292194,46470870905.0
Ghana,114.0,4.633,5.0572619439999995,8.1976614,0.68511188,54.86000061,0.679418445,0.046872314000000005,0.8978361490000001,0.576750815,5.51297119,0.27582821,3.192320531,1.0,2.0,61.49173171,31.0,3.0,10.0,1.8,Africa,6.44,4.166666667,8.168,6.253058778,337260972.7
Greece,102.0,4.857,5.0963540080000005,10.10087299,0.81214112,71.62000275,0.37261042,-0.306134254,0.958908975,0.126218989,8.88281165,0.10820883,1.140932302,2.0,2.0,81.58780488,133.0,112.0,218.0,8.3,Europe,6.67,7.5,9.7,5.717122922000001,5914988423.0
Guatemala,43.0,6.122999999999999,5.855717182,8.839147568,0.802148998,62.81999969,0.865472019,0.017802276000000002,0.8209239840000001,0.502455831,5.88481958,0.16252429,1.1755234,4.0,4.0,71.9564878,53.0,69.0,2.0,2.2,North America,7.41,3.3,9.244,6.741922959,224366543.6
Guinea,150.0,3.656,3.651554823,7.429018497,0.542295277,50.43999863,0.646187842,0.008407498000000001,0.794450223,0.557172477,3.50398284,0.12091533,0.085,5.0,5.0,59.19343902,9.0,0.0,2.0,0.2,Africa,,,6.955088503,,168913357.5
Haiti,119.0,4.518,4.4134750369999995,7.368234158,0.74866271,41.41999817,0.482485861,0.289213806,0.7171663640000001,0.367326528,9.64946914,0.10711061,0.10943,5.0,5.0,63.0737561,1.0,326.0,1.0,5.9,North America,6.0,2.5,8.744,6.766851933,0.0
Honduras,105.0,4.788,4.602218151000001,8.327683449,0.779194891,65.94000244,0.7004520890000001,0.00354071,0.8714371320000001,0.26335296,8.61853776,0.08960829,1.316679827,4.0,4.0,73.33312195,69.0,98.0,2.0,3.0,North America,7.16,2.5,8.96,6.652483582,212341274.3
Hong Kong S.A.R. of China,,,5.483764647999999,10.82731628,0.8264256720000001,75.28047943,0.879752457,0.211643279,0.379783154,0.49790594,,,,,,,,,,,,,,,,
Hungary,104.0,4.8,4.683358192,10.02491188,0.906113982,65.91999817,0.56923151,-0.142413616,0.930297315,0.209778264,7.46613865,0.09843028,-5.309180499,2.0,2.0,75.96097561,234.0,215.0,185.0,11.3,Europe,7.33,6.666666667,8.857999999999999,7.739611612000001,1322277703.0
Iceland,2.0,7.561,7.590660095,10.59492397,0.978965282,72.76000214,0.9046545029999999,0.239700317,0.7585856320000001,0.257335573,8.44292014,0.00330815,1.145752087,1.0,1.0,82.86097561,233.0,61.0,78.0,6.6,Europe,6.94,10.0,8.962,7.720718074,0.0
India,117.0,4.565,4.720146656,8.482096672,0.510574579,58.0,0.609320104,0.055298599999999996,0.829614758,0.539206505,3.32935296,13.0905398,44.00949213,2.0,3.0,68.34856098,9.0,114.0,0.0,2.2,Asia,6.54,6.666666667,8.138,6.6348591379999995,47216920048.0
Indonesia,74.0,5.399,5.36777401,9.132506371,0.8336211440000001,60.84000015,0.7703193429999999,0.342558473,0.96158886,0.672580957,2.90286671,2.58162113,19.779127977,2.0,4.0,69.07168293,5.0,1.0,0.0,0.1,Asia,6.84,5.0,9.144,6.3613477089999995,6531097955.0
Iran,110.0,4.686,4.608927727,9.718718529,0.599542618,64.37999725,0.764418423,,0.677707136,0.7185541990000001,6.63648596,0.79360487,2.05,6.0,6.0,75.59134146,0.0,0.0,0.0,0.0,Asia,4.96,6.666666667,0.0,4.435701251,16493963287.0
Iraq,112.0,4.677,4.659508705,9.590554237000001,0.730118215,59.11999893,0.314564615,-0.056442745,0.78919065,0.33984631299999996,2.69037065,0.36115649,3.3163,5.0,6.0,69.59026829,9.0,3.0,0.0,0.2,Asia,,,,,4141066054.0
Ireland,18.0,6.94,6.964645386,10.71382141,0.9617859129999999,71.69999695,0.90219456,0.29874143,0.572632253,0.34587270000000003,10.77223814,0.04676835,203.0,1.0,1.0,81.50243902,313.0,118.0,165.0,11.4,Europe,7.98,10.0,9.662,8.05773624,1157531730.0
Israel,11.0,7.278,7.110854626,10.32817173,0.9034155009999999,72.51999664,0.681439221,0.150700644,0.862327278,0.343569756,7.14195084,0.083801,11.5102,1.0,2.0,82.05121951,63.0,69.0,9.0,2.5,Asia,7.36,8.333333332999999,9.658,7.174538167000001,15567095862.0
